Timestamp,Topico,Mensagem
2026-01-29 16:19:32,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-60,""raw"":3.98,""distance"":5.31,""var"":4.73,""int"":5229}"
2026-01-29 16:19:33,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-77,""raw"":12.18,""distance"":8.70,""var"":6.43,""int"":5601}"
2026-01-29 16:19:34,espresense/devices/apple:findmy/esp32_s3_6,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-81,""raw"":15.85,""distance"":11.48,""var"":22.63,""int"":4871}"
2026-01-29 16:19:34,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-67,""raw"":6.31,""distance"":6.16,""var"":0.15,""int"":5378}"
2026-01-29 16:19:34,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-74,""raw"":10.00,""distance"":11.80,""var"":7.19,""int"":13154}"
2026-01-29 16:19:37,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-69,""raw"":7.20,""distance"":5.40,""var"":5.01,""int"":5228}"
2026-01-29 16:19:38,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-64,""raw"":5.18,""distance"":5.46,""var"":0.12,""int"":5374}"
2026-01-29 16:19:38,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-81,""raw"":15.85,""distance"":14.09,""var"":5.11,""int"":24228}"
2026-01-29 16:19:43,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-64,""raw"":5.18,""distance"":5.30,""var"":0.13,""int"":5373}"
2026-01-29 16:19:44,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-54,""raw"":7.20,""distance"":5.30,""var"":5.55,""int"":5240}"
